Unique Key,Created Date,Borough,Zip,City,Complaint Type
35141080,2017-01-01 01:29:35,QUEENS,11416,OZONE PARK,Blocked Driveway
35140228,2017-01-01 01:29:43,BROOKLYN,11216,BROOKLYN,Noise - Commercial
35143303,2017-01-01 01:30:02,QUEENS,11385,RIDGEWOOD,Noise - Residential
35143674,2017-01-01 01:30:10,BROOKLYN,11237,BROOKLYN,Noise - Street/Sidewalk
35139598,2017-01-01 01:30:11,BRONX,10465,BRONX,Noise - Residential
35141329,2017-01-01 01:30:14,MANHATTAN,10032,NEW YORK,Noise - Residential
35138329,2017-01-01 01:30:35,BROOKLYN,11225,BROOKLYN,Noise - Residential
35137604,2017-01-01 01:30:41,BROOKLYN,11216,BROOKLYN,Noise - Commercial
35141007,2017-01-01 01:30:58,QUEENS,11106,ASTORIA,Noise - Commercial
35140483,2017-01-01 01:31:10,QUEENS,11692,ARVERNE,Noise - Residential
35142210,2017-01-01 01:31:43,QUEENS,11432,JAMAICA,Noise - Residential
35145113,2017-01-01 01:32:00,MANHATTAN,10012,NEW YORK,Traffic Signal Condition
35143682,2017-01-01 01:32:19,MANHATTAN,10128,NEW YORK,Noise - Commercial
35141793,2017-01-01 01:32:38,MANHATTAN,10033,NEW YORK,Noise - Residential
35139409,2017-01-01 01:32:56,QUEENS,11377,WOODSIDE,Noise - Residential
35138751,2017-01-01 01:33:17,BRONX,10467,BRONX,Noise - Residential
35138812,2017-01-01 01:33:25,STATEN ISLAND,10314,STATEN ISLAND,Derelict Vehicle
35138536,2017-01-01 01:33:33,BRONX,10472,BRONX,Noise - Residential
35138229,2017-01-01 01:33:34,BROOKLYN,11209,BROOKLYN,Noise - Residential
35143097,2017-01-01 01:33:37,QUEENS,11436,JAMAICA,Blocked Driveway
35143606,2017-01-01 01:33:54,BROOKLYN,11237,BROOKLYN,Noise - Residential
35137825,2017-01-01 01:34:16,MANHATTAN,10034,NEW YORK,Illegal Parking
35137500,2017-01-01 01:34:20,BROOKLYN,11226,BROOKLYN,Noise - Residential
35143512,2017-01-01 01:34:21,BROOKLYN,11219,BROOKLYN,Noise - Residential
35138750,2017-01-01 01:34:33,BROOKLYN,11215,BROOKLYN,Noise - Commercial
35141594,2017-01-01 01:34:36,BROOKLYN,11208,BROOKLYN,Illegal Parking
35136958,2017-01-01 01:34:51,MANHATTAN,10032,NEW YORK,Noise - Residential
35147587,2017-01-01 01:35:00,STATEN ISLAND,10314,STATEN ISLAND,Derelict Vehicles
35140182,2017-01-01 01:35:13,QUEENS,11358,FLUSHING,Noise - Residential
35139268,2017-01-01 01:35:28,QUEENS,11102,ASTORIA,Noise - Commercial
35140426,2017-01-01 01:35:39,BRONX,10467,BRONX,Noise - Residential
35138331,2017-01-01 01:35:58,BROOKLYN,11237,BROOKLYN,Noise - Residential
35141952,2017-01-01 01:36:15,BROOKLYN,11204,BROOKLYN,Illegal Parking
35142150,2017-01-01 01:36:22,MANHATTAN,10039,NEW YORK,Noise - Residential
35141023,2017-01-01 01:36:28,QUEENS,11368,CORONA,Noise - Residential
35142686,2017-01-01 01:36:47,BROOKLYN,11218,BROOKLYN,Noise - Residential
35140249,2017-01-01 01:37:02,MANHATTAN,10016,NEW YORK,Noise - Commercial
35139395,2017-01-01 01:37:16,BRONX,10467,BRONX,Noise - Residential
35137826,2017-01-01 01:37:32,MANHATTAN,10030,NEW YORK,Noise - Residential
35138764,2017-01-01 01:37:36,BROOKLYN,11215,BROOKLYN,Noise - Residential
35139367,2017-01-01 01:37:51,BRONX,10473,BRONX,Blocked Driveway
35140173,2017-01-01 01:37:54,MANHATTAN,10012,NEW YORK,Noise - Residential
35142818,2017-01-01 01:37:57,MANHATTAN,10013,NEW YORK,Noise - Residential
35138400,2017-01-01 01:38:14,MANHATTAN,10040,NEW YORK,Noise - Residential
35142957,2017-01-01 01:38:33,MANHATTAN,10040,NEW YORK,Noise - Residential
35139534,2017-01-01 01:38:43,MANHATTAN,10002,NEW YORK,Noise - Residential
35141176,2017-01-01 01:38:45,BROOKLYN,11219,BROOKLYN,Noise - Residential
35138364,2017-01-01 01:38:59,QUEENS,11103,ASTORIA,Noise - Residential
35143923,2017-01-01 01:39:01,BROOKLYN,11213,BROOKLYN,HEAT/HOT WATER
35142794,2017-01-01 01:39:04,QUEENS,11373,ELMHURST,Noise - Residential
35139218,2017-01-01 01:39:07,MANHATTAN,10032,NEW YORK,Noise - Residential
35143023,2017-01-01 01:39:41,BROOKLYN,11233,BROOKLYN,Noise - Residential
35144756,2017-01-01 01:40:00,BRONX,10463,BRONX,Noise
35147914,2017-01-01 01:40:02,MANHATTAN,10010,NEW YORK,HEAT/HOT WATER
35138531,2017-01-01 01:40:17,MANHATTAN,10040,NEW YORK,Noise - Residential
35143027,2017-01-01 01:40:19,MANHATTAN,10033,NEW YORK,Noise - Residential
35142845,2017-01-01 01:40:32,BRONX,10472,BRONX,Illegal Animal Kept as Pet
35143498,2017-01-01 01:40:40,BRONX,10468,BRONX,Noise - Residential
35143046,2017-01-01 01:40:41,QUEENS,11435,JAMAICA,Blocked Driveway
35146692,2017-01-01 01:40:44,MANHATTAN,10039,NEW YORK,HEAT/HOT WATER
35136975,2017-01-01 01:40:55,QUEENS,11432,JAMAICA,Noise - Residential
35137849,2017-01-01 01:41:11,MANHATTAN,10040,NEW YORK,Noise - Residential
35141694,2017-01-01 01:41:22,QUEENS,11106,ASTORIA,Noise - Commercial
35141088,2017-01-01 01:41:36,QUEENS,11368,CORONA,Blocked Driveway
35137593,2017-01-01 01:41:42,BRONX,10472,BRONX,Noise - Residential
